video_id,comment_length
h3I1wR9Wd-M,1051483
BehnxhnJC-Y,774528
fZOetPGRTZg,568465
blR9Zy5u1W4,562266
Tl_BiASX38w,489533
05heNjLJlU8,386329
VEzcwDb4XRY,345054
TosDJ_8Jsfo,323092
lByr3B2G8TI,262714
QrK3yol9ANY,256797
r_iN9chy2ew,253731
1A2UEqkQY24,250935
GN2lDWybilg,232739
Gev2opFMR1E,216867
oHZ0-hgS2d0,213708
GcZmYxsQuFY,210182
_nRs9JLyvWg,204670
YwvR4fZFdlc,204663
8ZWjlDHnzzA,196474
NNsJlerfUTM,195693
HEM1Brgekbg,192302
nP64ZlCbXGw,191639
Kjvz74zsILo,183800
qJ8AUJl95H0,180727
NMKLYYTB2HQ,178456
RtdlGv-B_PY,176687
dqyIhU5_01k,172122
byPCjaGo86Q,172110
r7_IOzoAYyo,169917
sKiuIJ0GUM4,169509
2GLD2vL6Yb4,168990
Iqyi0UDOjqY,166266
FtlqS69SLR8,165470
Th5Tsbt-b9M,157962
gMoumqir2jI,151610
VMlsr1vXTtM,150905
faFNRXPrTyM,150583
gLIgraoFNiU,148319
VqudDyQdyy4,144311
RFVq5IMohxo,138832
DSiFJR8O5ZU,137529
ITuKLpulw7k,126362
W32iJGYTXXU,117434
K92Ya9mwlJ4,114479
BA327bVq6tA,113977
pX3syHeJz2M,110147
QvkI6tapm4o,108081
_fNbtIcU5Ys,107375
stBpkco-bp4,105851
Z_4IFDFPnFE,104571
CRqrm4r1Esw,103556
v-1Gg1fqmA4,99322
woiKKF481H0,94845
_YzWiA3w6wk,94759
RpERZGyvUeM,90618
Cm7u2ffTnEc,89926
oNajdjXbOMI,87491
Q93HU5xdleE,79077
UcFXteZIqkU,76707
DC0KPyE_Dog,76484
_ZqFta0lxuk,75816
N7nEKrPUKL0,75409
kLbWw0oYkD0,74221
n7HB_bpJT3Y,70832
c4ZM8GwesvI,70166
36cwh1ti_RI,69351
NnZkn-IDWZs,69242
u0Iz4DfXwHc,68174
C5dYIcXWgJw,66527
Y_CecAiBVss,65422
OQBaQE4pTVw,64652
ts5Am37CK3s,64534
aAI1iAsD_5A,60176
_x743kLGifE,58827
WMqZBJhDYuQ,58717
givJy2H8VKA,58115
uqYr1aq_6Dk,55333
hKyDx5Z9hik,49432
418QXmde44k,46723
69gyg-ekj1Q,46515
es1g2Xz3ViU,46252
Dp5MV1e4UCo,43800
Aj9sminoTNE,42141
2gynLDcCqMM,41503
cwQRYlOSSlE,40358
eRiDjiXQ47Y,38170
6rt1O5FOSCY,37400
puAkaTv9hOs,36043
TcTAM2h5wvE,36042
jOWYMN_utak,35889
R5tpFpBeKkI,34316
yT3gZ7e2-Cs,32732
TBRWsrQshXQ,32569
6Qy08eYVmsk,32186
ouWA4SOArSU,31576
h7TeF4klFYg,31284
sLqSywLTAo4,30416
JTPD758g3XQ,29163
7aSeZ5n9Pvg,29129
ExVrmLKJyzA,27830
lrAKTVrtWzs,27800
OPObtcKf9C4,26966
AsYLnpP3LKk,25591
yNBIxeh-Ovc,24276
raw-BwDAmaU,23089
6gLwqeGC0mU,22436
HDCMIA0Q3sQ,21603
au1KRt6K2S4,21147
_5yP6rZKf9s,21086
aRthDsTBQMo,20900
KQNLPl6j8Zo,20032
6WyEumiFRjA,19891
NKOx02ydV_E,19000
phijXb7UeD4,17997
Jt_kN8x0KMc,17911
H6WNOlviDDw,17550
