video_id,negative,neutral,positive
-iABQPomNzQ,116.0,160.0,18.0
-p5l6A1RgTE,10.0,7.0,1.0
-xboSMZsE9o,15.0,18.0,0.0
05heNjLJlU8,3934.0,3450.0,484.0
1A2UEqkQY24,3366.0,2842.0,447.0
1bAxJYz6m38,6.0,2.0,1.0
1spN8boZJPQ,2.0,3.0,0.0
24ihWIkYphA,2.0,1.0,0.0
2GLD2vL6Yb4,2128.0,1260.0,199.0
2dcSJuSY1hw,5.0,3.0,0.0
2gynLDcCqMM,456.0,372.0,111.0
36cwh1ti_RI,910.0,714.0,133.0
3_wCXBVNc4k,13.0,23.0,1.0
418QXmde44k,435.0,250.0,29.0
4HUHO12AYhk,26.0,23.0,1.0
50PSYQTrR-8,19.0,16.0,1.0
60CEElFPht0,40.0,46.0,9.0
69gyg-ekj1Q,488.0,463.0,74.0
6AJQoVj-bI4,5.0,7.0,1.0
6IwJA5nJZ1w,0.0,1.0,0.0
6Qy08eYVmsk,341.0,221.0,34.0
6WyEumiFRjA,202.0,140.0,44.0
6gLwqeGC0mU,271.0,276.0,47.0
6rt1O5FOSCY,384.0,345.0,51.0
79asvu39HEw,1.0,14.0,0.0
7_KgAWlpYDw,28.0,25.0,5.0
7aSeZ5n9Pvg,288.0,272.0,44.0
87bEJFS1Ftk,34.0,36.0,7.0
8FWJYT3M3Qc,6.0,16.0,2.0
8IQVfy8o-vE,21.0,30.0,24.0
8ZWjlDHnzzA,1577.0,1175.0,139.0
9Dq-4rgtxVU,1.0,0.0,2.0
9Dy1aS7dAkA,20.0,11.0,1.0
9Qv_J1V4-TY,1.0,1.0,1.0
9W-bVW-nbiM,8.0,16.0,0.0
9YcrVXGmaaE,17.0,11.0,2.0
9_Tf3fAdSek,66.0,46.0,7.0
A53rrJ5YVUk,3.0,12.0,0.0
A8S7CoC9SnE,44.0,40.0,6.0
AFXGPqZDvdc,5.0,5.0,0.0
AJSrJA01v7Q,1.0,4.0,0.0
Aj9sminoTNE,487.0,298.0,31.0
AsYLnpP3LKk,230.0,256.0,50.0
B2_79SQ87xQ,58.0,88.0,7.0
B7kPTEo0M3s,13.0,20.0,8.0
B9msHrA7v2k,5.0,6.0,0.0
BA327bVq6tA,1594.0,1376.0,138.0
BehnxhnJC-Y,7543.0,4202.0,583.0
BnaygXqpd0M,4.0,6.0,1.0
C3zkenre6EI,2.0,4.0,0.0
C5dYIcXWgJw,757.0,729.0,122.0
CNL5f6Zg85U,9.0,41.0,13.0
CRqrm4r1Esw,1013.0,739.0,147.0
CW1pg627zDQ,19.0,23.0,1.0
Cm7u2ffTnEc,1052.0,995.0,111.0
CpWsgGuxDtw,119.0,165.0,36.0
DC0KPyE_Dog,829.0,510.0,68.0
DRWTG9hdBqo,21.0,16.0,2.0
DSiFJR8O5ZU,1477.0,1235.0,168.0
Dp5MV1e4UCo,553.0,387.0,58.0
DvRyDmd51-o,8.0,5.0,2.0
ERLVggrfMyo,1.0,4.0,0.0
ExVrmLKJyzA,307.0,218.0,32.0
F0EHGHI0jgc,2.0,3.0,0.0
FJHNjpoWmck,6.0,8.0,3.0
FTQgaX0Rn40,38.0,28.0,2.0
FtlqS69SLR8,1754.0,1319.0,146.0
FvrQJ0hpPyU,6.0,3.0,1.0
Fxyhjbqf08A,76.0,95.0,13.0
G24HCiaUEbM,22.0,18.0,1.0
GN2lDWybilg,2213.0,1144.0,163.0
GSkhy8jnOek,2.0,1.0,0.0
GcZmYxsQuFY,2154.0,2069.0,331.0
Gev2opFMR1E,2507.0,1301.0,221.0
GpaieGEp4fA,39.0,29.0,5.0
H2RANmWg_3M,20.0,28.0,2.0
H6WNOlviDDw,172.0,172.0,39.0
HDCMIA0Q3sQ,261.0,154.0,29.0
HEM1Brgekbg,2175.0,1833.0,284.0
HJSXvmVEwUc,28.0,25.0,16.0
HM0sB_m9lbU,83.0,75.0,8.0
HZLsB2zL2Xc,55.0,57.0,8.0
HlsjjUdZDaI,55.0,29.0,3.0
I2UyW7Vh-bI,1.0,5.0,1.0
