id,title,url,duration,upload_date,view_count,like_count
YwvR4fZFdlc,"GNTM, Miss Germany & Co.: Schluss mit Schönheitswettbewerben? I 13 Fragen I unbubble",https://www.youtube.com/watch?v=YwvR4fZFdlc,2101,20230308,2103221,40876
BehnxhnJC-Y,Ist die Gen Z eine faule Generation? | 13 Fragen | unbubble,https://www.youtube.com/watch?v=BehnxhnJC-Y,2509,20230813,1805016,27942
h3I1wR9Wd-M,#BodyPositivity: Toxischer Hype oder echtes Empowerment? | 13 Fragen | unbubble,https://www.youtube.com/watch?v=h3I1wR9Wd-M,2522,20221102,1748601,17015
fZOetPGRTZg,Transgender: Sollte das Geschlecht jederzeit frei wählbar sein? 13 Fragen | unbubble,https://www.youtube.com/watch?v=fZOetPGRTZg,3630,20220601,1466109,22301
dqyIhU5_01k,Dürfen wir Kinder im Internet zeigen? 13 Fragen I unbubble,https://www.youtube.com/watch?v=dqyIhU5_01k,2398,20230215,1263745,27226
r_iN9chy2ew,Grenzenloser Spaß: Darf Humor alles? | 13 Fragen | unbubble,https://www.youtube.com/watch?v=r_iN9chy2ew,2503,20230802,1085585,14165
1A2UEqkQY24,Sexismus: Sollten manche Party-Schlager verboten werden? | 13 Fragen | unbubble,https://www.youtube.com/watch?v=1A2UEqkQY24,2319,20220921,977006,13691
blR9Zy5u1W4,Männer zu weich geworden? Moderne vs. traditionelle Männlichkeit | 13 Fragen | unbubble,https://www.youtube.com/watch?v=blR9Zy5u1W4,2497,20240605,793241,14008
HEM1Brgekbg,Zoo: Artenschutz oder Tierquälerei? I 13 Fragen I unbubble,https://www.youtube.com/watch?v=HEM1Brgekbg,2345,20230510,700197,16974
TosDJ_8Jsfo,Organspende: Automatisch spenden oder aktiv entscheiden? | 13 Fragen | unbubble,https://www.youtube.com/watch?v=TosDJ_8Jsfo,2763,20220810,673294,13606
