id,title,url,duration,upload_date,view_count,like_count,comment_count
NiP7cJIEkCc,Alltagstausch für CEO und Sozialarbeiterin mit @hubertuskoch1904 🤝​ | unbubble #shorts,https://www.youtube.com/watch?v=NiP7cJIEkCc,43,20250115,1534,71,4
vffVnfxKHB0,Warum verliert Lothar Matthäus seinen Kapitäns-Job? 😮‍💨  | FC Hollywood in der ZDF Mediathek,https://www.youtube.com/watch?v=vffVnfxKHB0,57,20250114,1686,27,5
Fxyhjbqf08A,CEO tauscht Job mit Sozialarbeiterin | Takeover (Teil 1/3) | unbubble,https://www.youtube.com/watch?v=Fxyhjbqf08A,1034,20250112,32138,1021,184
PfjACOxLfv0,👴🏻 Alter weißer Mann = Diskriminierend? | unbubble #shorts,https://www.youtube.com/watch?v=PfjACOxLfv0,13,20250111,8513,190,57
YUA9N7kDAkY,👉​ Schafft Jo 13 Fragen in einer Minute? | unbubble,https://www.youtube.com/watch?v=YUA9N7kDAkY,78,20250108,9389,353,9
DC0KPyE_Dog,"Gen Z, Millennials, Boomer: Warum streiten sich die Generationen so? | 13 Fragen | unbubble",https://www.youtube.com/watch?v=DC0KPyE_Dog,2110,20250108,150605,3918,1407
pTgVbv6Ls7s,#MentalHealth: Ist Social Media der richtige Ort für Aufklärung? I Sag’s mir #shorts,https://www.youtube.com/watch?v=pTgVbv6Ls7s,57,20250107,2296,84,2
T-QLOIN8IqA,Noch mehr Hyaluron: Machen oder lassen? | unfiltered live #shorts,https://www.youtube.com/watch?v=T-QLOIN8IqA,40,20250105,3908,80,2
olFOKRA_1To,"""Die Gen Z definiert sich nicht über Arbeit und Besitz."" | Sag's mir #shorts",https://www.youtube.com/watch?v=olFOKRA_1To,50,20250102,2587,97,8
1bAxJYz6m38,Noch mehr Botox? Das Problem mit dem Altern |13 Fragen #shorts,https://www.youtube.com/watch?v=1bAxJYz6m38,43,20250101,3353,52,9
24ihWIkYphA,Müssen Konzerttickets wieder billiger werden? | 13 Fragen #shorts,https://www.youtube.com/watch?v=24ihWIkYphA,71,20241231,3468,70,3
_fwgHw5zO4Q,Trash TV - Pro oder Contra? 13 Fragen | #shorts,https://www.youtube.com/watch?v=_fwgHw5zO4Q,124,20241230,1791,32,1
Qjpbj8tNAhY,Facelift mit mitte 50?  @DesyF  bei unfiltered live,https://www.youtube.com/watch?v=Qjpbj8tNAhY,56,20241229,7680,138,19
kOLByjX_STM,"Goodbye ""Sag's mir"", es war schön! 😢❤ | unbubble #shorts",https://www.youtube.com/watch?v=kOLByjX_STM,44,20241228,3132,74,9
bFU9F7yenOc,Deeptalk mitten in der Innenstadt? 🎥 | unbubble #shorts,https://www.youtube.com/watch?v=bFU9F7yenOc,53,20241227,2920,79,4
cRwyXhlcB30,"Lustiges Missverständnis am Set von ""Mind Dates"" 😂 | unbubble #shorts",https://www.youtube.com/watch?v=cRwyXhlcB30,16,20241226,4770,110,7
Wc9rD7_MdhA,Käse-Monis Tipps für entspannte Weihnachten! 🧡​ | unbubble #shorts,https://www.youtube.com/watch?v=Wc9rD7_MdhA,30,20241221,2805,127,3
MKyJ3KCtZdY,Hat jemand Tipps für entspannte Weihnachten? 🫥 | unbubble #shorts,https://www.youtube.com/watch?v=MKyJ3KCtZdY,25,20241220,1939,54,1
wK5EOQ-Mxcc,Sind Konzerttickets zu teuer geworden? 🤑 | unbubble #shorts,https://www.youtube.com/watch?v=wK5EOQ-Mxcc,67,20241219,2984,71,15
uqYr1aq_6Dk,"Taylor Swift, Adele & Co: Sind Konzerttickets zu teuer geworden? | 13 Fragen | unbubble",https://www.youtube.com/watch?v=uqYr1aq_6Dk,2162,20241218,87180,1806,1040
oKSL-u9q7ps,"„Die Witze sind diskriminierend und Menschenentwürdigend.""| unbubble #shorts",https://www.youtube.com/watch?v=oKSL-u9q7ps,65,20241215,3178,127,29
cbWcnLCcPlU,Warum schweigt ganz Hollywood? 😲 ​| unbubble #shorts,https://www.youtube.com/watch?v=cbWcnLCcPlU,40,20241214,3948,67,2
VLUtpYTqdy8,🔍​ Sprechen wir zu viel über Mental-Health auf Social Media? | unbubble,https://www.youtube.com/watch?v=VLUtpYTqdy8,59,20241213,6489,147,13
puJTPLVHJdk,Konsequenzen für Luke Mockridge? 🤔​ | unbubble,https://www.youtube.com/watch?v=puJTPLVHJdk,57,20241212,29118,340,67
